,actions,category,drugbank_id,known_action,organism,pubmed_ids,uniprot_id
0,inhibitor,target,DB00001,yes,Human,10505536|10912644|11055889|11467439|11807012|11752352,P00734
1,antagonist,target,DB00002,yes,Human,10480573|10601294|10628369|11408594|11431346|11752352,P00533
2,,target,DB00002,unknown,Human,16336752,O75015
3,,target,DB00002,unknown,Human,17139284|17016423,P00736
4,,target,DB00002,unknown,Human,17139284|17016423,P02745
5,,target,DB00002,unknown,Human,17139284|17016423,P02746
6,,target,DB00002,unknown,Human,17139284|17016423,P02747
7,,target,DB00002,unknown,Human,17139284|17016423|17704420,P08637
8,,target,DB00002,unknown,Human,17139284|17016423,P09871
9,,target,DB00002,unknown,Human,7547242,P12314
10,,target,DB00002,unknown,Human,17139284|17016423|17704420,P12318
11,,target,DB00002,unknown,Human,17139284|17016423,P31994
12,,target,DB00002,unknown,Human,17139284|17016423,P31995
13,binder,target,DB00004,yes,Human,17139284|17016423|2786749|3124610|18684057|17187516|11752352,P01589
14,agonist,target,DB00004,yes,Human,15811959|16516670|18684057|17187516|11752352,P14784
15,,target,DB00004,unknown,Human,15811959|16516670|11707860,P31785
16,antibody,target,DB00005,yes,Human,10206649|10338381|10357816|10375846|10405518|11752352,P01375
17,,target,DB00005,unknown,Human,11752352,P20333
18,,target,DB00005,unknown,Human,17139284|17016423,P12314
19,,target,DB00005,unknown,Human,15457442|15526004,P08637
20,,target,DB00005,unknown,Human,15457442|15526004,P12318
21,,target,DB00005,unknown,Human,17139284|17016423,P31994
22,,target,DB00005,unknown,Human,10800083|7535196,P31995
23,,target,DB00005,unknown,Human,11302411|1328224|15005015|15033655|15695296,P01374
24,,target,DB00005,unknown,Human,10800083|17387033|15457442|15526004,O75015
25,,target,DB00005,unknown,Human,17139284|17016423,P09871
26,,target,DB00005,unknown,Human,17139284|17016423,P00736
27,,target,DB00005,unknown,Human,17139284|17016423,P02745
28,,target,DB00005,unknown,Human,17139284|17016423,P02746
29,,target,DB00005,unknown,Human,17139284|17016423,P02747
30,inhibitor,enzyme,DB00005,unknown,Human,17931716|16303916,P35354
31,inhibitor,target,DB00006,yes,Human,11060732|11504570|11833835|11923794|11929334|11752352,P00734
32,inhibitor,enzyme,DB00006,unknown,Human,18701766,P05164
33,agonist,target,DB00007,yes,Human,16809153|10687850|9625809|15758569|10394541,P30968
34,agonist,target,DB00008,yes,Human,15898717|16953837|19955815|11752352,P48551
35,agonist,target,DB00008,yes,Human,15898717|16953837|19955815|11752352,P17181
36,activator,target,DB00009,yes,Human,18673235|19436656|17963464|11752352,P00747
37,,target,DB00009,yes,Human,18673235|19436656|17963464,P02671
38,,target,DB00009,unknown,Human,17139284|17016423,Q03405
39,,target,DB00009,unknown,Human,17963464,P05121
40,agonist,target,DB00010,yes,Human,14499707|11752352,Q02643
41,agonist,target,DB00011,yes,Human,17139284|17016423|10822464|19955815|11752352,P48551
42,agonist,target,DB00011,yes,Human,17139284|17016423|10822464|19955815|11752352,P17181
43,agonist,target,DB00012,yes,Human,16505108|17575216|11752352,P19235
44,activator,target,DB00013,yes,Human,12658774|12666133|12719778|12720300|12745435|11752352,P00747
45,,target,DB00013,yes,Human,12615913|12817472|14679304|14688365|14720519|17327908,Q03405
46,,target,DB00013,yes,Human,12556741|12579271|12707394|12745435|12824001,P00749
47,,target,DB00013,yes,Human,12745435|12787697|12826021|12893898|14507109,P00750
48,,target,DB00013,yes,Human,12579271|12642587|12709915|12745435|12785198,P05121
49,,target,DB00013,yes,Human,15277569|15351849|15640330|15944795|16327990,P05120
50,,target,DB00013,unknown,Human,17434507|17253188|14645112,P05154
51,,target,DB00013,unknown,Human,17139284|17016423|8241286|1280065|7959795,P98164
52,,target,DB00013,unknown,Human,14747469|12815039,Q9Y5Y6
53,,target,DB00013,unknown,Human,17139284|17016423|1499567,P14543
54,agonist,target,DB00014,yes,Human,17139284|17016423|20053189,P22888
55,agonist,target,DB00014,yes,Human,20053189,P30968
56,activator,target,DB00015,yes,Human,17963464|18673235|19436656|11752352,P00747
57,,target,DB00015,yes,Human,18673235|19436656|17963464,P02671
58,,target,DB00015,unknown,Human,17139284|17016423,Q03405
59,,target,DB00015,unknown,Human,17963464,P05121
60,agonist,target,DB00016,yes,Human,16505108|17575216|11752352,P19235
61,agonist,target,DB00017,unknown,Human,3004987|7610922|9231703|11752352,P30988
62,agonist,target,DB00018,yes,Human,17139284|17016423|15898717|19955815|11752352,P17181
63,agonist,target,DB00018,yes,Human,17139284|17016423|15898717|19955815|16953837|11752352,P48551
64,agonist,target,DB00019,yes,Human,17001306|12944913|17127322|16033816|15949269|15082029,Q99062
65,,target,DB00019,unknown,Human,14657210|16245075|12958067|15353486|17475913,P08246
66,agonist,target,DB00020,yes,Human,17090651|16760463|17522711|16638185|11752352,P15509
67,agonist,target,DB00020,yes,Human,17562355|17500228|16698686|17522711,P26951
68,agonist,target,DB00020,yes,Human,17139284|17016423|1424804,P32927
69,agonist,target,DB00020,unknown,Human,17139284|17016423|10734053,P34741
70,,target,DB00020,unknown,Human,17383764|16522458|17600316,P13727
71,agonist,target,DB00021,yes,Human,17139284|17016423|11752352,P47872
72,agonist,target,DB00022,yes,Human,17139284|17016423|15898717|19955815|16953837|11752352,P17181
73,agonist,target,DB00022,yes,Human,17139284|17016423|15898717|19955815|16953837|11752352,P48551
74,agonist,target,DB00024,yes,Human,15571461|9039330|11752352,P16473
75,activator,target,DB00025,yes,Human,13801371|14285227|236567|6436416|11891806,P00742
76,cofactor,target,DB00025,yes,Human,1119107|2994716|14240634|932529|6422634,P00740
77,binder,target,DB00025,yes,Human,10938981|11858481|14750934|2128855|2942172,P04275
78,antagonist,target,DB00025,unknown,Human,17139284|17016423|11574539,O14832
79,binder,target,DB00025,unknown,Human,17139284|17016423|15946216,P07307
80,chaperone,target,DB00025,unknown,Human,17139284|17016423|9607108,P11021
81,chaperone,target,DB00025,unknown,Human,17139284|17016423|9525969|17899080|9607108|9607108,P27797
82,chaperone,target,DB00025,unknown,Human,17139284|17016423|9525969|15213841|17899080|9607108,P27824
83,chaperone,target,DB00025,unknown,Human,17139284|17016423|14629470|14726380,P49257
84,modulator,target,DB00025,unknown,Human,17139284|17016423|21391865,Q07954
85,modulator,target,DB00025,unknown,Human,17139284|17016423|15886209,Q8NI22
86,activator,enzyme,DB00025,unknown,Human,10688826|1139038|12463731|2402772|3099625,P00734
87,inactivator,enzyme,DB00025,unknown,Human,17139284|17016423|21054189,P04070
88,antagonist,target,DB00026,yes,Human,17498496|12817089|12355453|17083033|11752352|17352828|10210771,P14778
89,inhibitor,transporter,DB00027,unknown,Human,14985103,P08183
90,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P12314
91,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,Q92637
92,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P12318
93,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P31994
94,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P31995
95,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,P08637
96,antagonist,target,DB00028,yes,Human,17911465|20441428|17351760,O75015
97,binder,target,DB00028,yes,Human,20441428|17351760|17911465,P01024
98,binder,target,DB00028,yes,Human,20441428|17351760|17911465,P0C0L4
99,binder,target,DB00028,yes,Human,20441428|17351760|17911465,P0C0L5
100,binder,target,DB00028,yes,Human,20441428|17351760|17911465,P01031
101,activator,target,DB00029,yes,Human,18673235|19436656|17963464|11752352,P00747
102,,target,DB00029,yes,Human,17139284|17016423,P02671
103,,target,DB00029,unknown,Human,17139284|17016423,Q03405
104,,target,DB00029,unknown,Human,17963464,P05121
105,agonist,target,DB00030,yes,Human,12970169|12038982|17722952|19683471|20230616|11752352,P06213
106,,target,DB00030,unknown,Human,17139284|17016423,P08069
107,,target,DB00030,unknown,Human,17139284|17016423,P06400
108,,target,DB00030,unknown,Human,17139284|17016423,P07339
109,,target,DB00030,unknown,Human,17139284|17016423,P14735
110,,target,DB00030,unknown,Human,17139284|17016423,P16519
111,,target,DB00030,unknown,Human,17139284|17016423,P16870
112,,target,DB00030,unknown,Human,17139284|17016423,P29120
113,,target,DB00030,unknown,Human,17139284|17016423,P48745
114,,target,DB00030,unknown,Human,17139284|17016423,P98164
115,,target,DB00030,unknown,Human,17139284|17016423,Q16270
116,,target,DB00030,unknown,Human,17139284|17016423,Q96C24
117,inducer,enzyme,DB00030,unknown,Human,,P05177
118,activator,target,DB00031,yes,Human,18673235|19436656|17963464|11752352,P00747
119,,target,DB00031,yes,Human,19436656|18673235|17963464,P02671
120,,target,DB00031,unknown,Human,15231724|11447759|12210068,Q03405
121,,target,DB00031,unknown,Human,11163592|14564902|17963464,P05121
122,,target,DB00031,unknown,Human,17141398|7958159|3091604,P05120
123,,target,DB00031,unknown,Human,12694198|9034981|17853709,P05452
124,,target,DB00031,unknown,Human,9988531|8760360|8810346,P05787
125,,target,DB00031,unknown,Human,15194650|10578524|12730231,P07355
126,,target,DB00031,unknown,Human,9359841,P27797
127,,target,DB00031,unknown,Human,9359841,P27824
128,,target,DB00031,unknown,Human,8344937|1378833|16303771,Q07954
129,binder,target,DB00032,yes,Human,17139284|17016423|14680547|7872378|11752352,P23945
130,,target,DB00032,yes,Human,17139284|17016423|14680547|7872378,P22888
131,binder,target,DB00033,yes,Human,17251453|17618444|11752352,P15260
132,binder,target,DB00033,yes,Human,17239631|17618444|11752352,P38484
133,,target,DB00034,yes,Human,15898717|18230610,P17181
134,,target,DB00034,yes,Human,15898717|18230610,P48551
135,agonist,target,DB00035,yes,Human,18761325|16333859|11752352,P30518
136,,target,DB00035,yes,Human,10731046|10594321|8957254|15613460,P37288
137,,target,DB00035,yes,Human,15613460|14971638|18655906,P47901
138,inducer,enzyme,DB00035,unknown,Human,15644490,P23219
139,inducer,enzyme,DB00035,unknown,Human,15644490,P35354
140,,target,DB00036,unknown,Human,5969560|13801371|13713641|14227143|13621053,P00742
141,,target,DB00036,unknown,Human,17139284|17016423,P05981
